national_number	description
001	A small, quadrupedal reptilian creature with teal-green skin and darker patches. It has large, red eyes, a wide mouth, and small, pointed ears. A prominent, green plant bulb is fused to its back.
002	A medium-sized, quadrupedal reptilian creature. Its teal skin is slightly darker. The bulb on its back has bloomed into a pink flower bud with large green leaves at its base.
003	A large, heavy-set quadrupedal creature with bumpy, bluish-green skin. The bud on its back has fully bloomed into a giant, pink, multi-petaled flower with a white-spotted pattern, supported by a thick, trunk-like stem.
004	A small, bipedal lizard-like creature with orange skin and a cream-colored underbelly. It has sharp claws, blue eyes, and a single flame burning at the tip of its long, thin tail.
005	A bipedal, reptilian creature with a darker, reddish-orange skin tone. It has a longer snout, more pronounced claws, and a single, sharp horn-like protrusion on the back of its head. The flame on its tail is larger.
006	A large, bipedal, draconic creature with orange skin and a cream-colored belly. It has a long neck, two large leathery wings with teal-green undersides, two horns on its head, and a powerful tail with a large flame at its tip.
007	A small, bipedal turtle with light-blue skin. It has a brown shell with a pale-yellow underside and a white, ridged border. It has large, brown eyes and a short, curled tail.
008	A medium-sized, bipedal turtle with a deeper blue skin tone. It has two prominent, feathery white ears. Its brown shell is well-worn, and its tail is now large, white, and fluffy.
009	A large, bipedal turtle with a massive, dark brown shell. Two large, silver water cannons protrude from the front of its shell, over its shoulders. It has a stocky blue body and a triangular jaw.
010	A small, green caterpillar with a smooth body. It has large, black, circular eyes, a yellow, Y-shaped antenna on its head, and multiple pairs of small, pink, suction-cup-like feet.
011	A green, chrysalis-like creature. It is a hardened, crescent-shaped green shell with two large, white eye-like markings on the front, giving it a half-asleep appearance.
012	A large, lepidopteran creature with a purple, segmented body and thin blue limbs. It has huge, white wings with black veining, two large, red compound eyes, and long, purple antennae.
013	A small, hairy caterpillar with a brown body and a cream-colored face. It has a small, pink, horn-like stinger on its head and another on its tail. It has large, black eyes.
014	A yellow, cocoon-like creature, segmented and dome-shaped at the top. It has a hardened shell and large, black eye-markings. A sharp, metallic-looking stinger protrudes from its front.
015	A large, wasp-like insectoid creature with a yellow, segmented body and black stripes. It has two pairs of veined, transparent wings, large, red compound eyes, and two massive, silver, drill-like stingers on its forelegs.
016	A small, plump bird with brown feathers on its back and a cream-colored underbelly. It has a short, sharp beak, small black eyes, and pink feet. The feathers on its head are messy.
017	A medium-sized bird of prey with a sharp, hooked beak and piercing eyes. It has shaggy, brown feathers and a prominent crest on its head with red plumes.
018	A very large, predatory bird with massive wings. It has a large, sharp crest of pinkish-red feathers, shaggy brown plumage, a powerful, hooked beak and strong talons.
019	A small, quadrupedal rodent with purple fur, large red eyes, and a cream-colored underbelly. It has very large front incisors and long whiskers. Its tail is long and curled at the tip.
020	A large, bipedal rodent with coarse, brown fur on its back and light-tan fur on its belly. It stands on its powerful hind legs, has sharp claws, large incisors, and long, sensitive whiskers.
021	A small, avian creature with a scruffy, brown-feathered body. It has a long, sharp beak for pecking and short, reddish wings. It has three spiky feathers on its head and piercing red eyes.
022	A large, vulture-like bird with a very long neck and a sharp, spear-like beak. It has massive, broad brown wings and a bald, pinkish head.
